property_type,location,bed,bath,total_sqft,price
Apartment,"Indira Road, Tejgaon, Dhaka",3,3,"1,365 sqft","7,000,000"
Apartment,"New Market, Dhaka",3,3,"1,303 sqft","9,121,000"
Apartment,"Kamal Khan Road, Ibrahimpur, Dhaka",3,3,"1,250 sqft","6,300,000"
Apartment,"Shegunbagicha Road, Shegunbagicha, Dhaka",3,3,"1,560 sqft","12,480,000"
Apartment,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3,2,"1,000 sqft","5,030,000"
Apartment,"Peer Saheber Goli, Shantinagar, Dhaka",3,3,"1,265 sqft","9,800,000"
Apartment,"Mirbag Notun Rasta, Maghbazar, Dhaka",3,3,"1,395 sqft","7,035,000"
Apartment,"Doniya, Shyampur, Dhaka",2,2,750 sqft,"3,200,000"
Apartment,"Section 10, Mirpur, Dhaka",3,3,"1,300 sqft","11,000,000"
Apartment,"South Baridhara Residential Area,D.I.T. Project, Badda, Dhaka",2,2,850 sqft,"4,000,000"
Apartment,"Outer Circular Road, Shiddheswari, Dhaka",3,3,"1,700 sqft","11,050,000"
Apartment,"Momin Road, Ibrahimpur, Dhaka",3,4,"1,630 sqft","8,000,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,275 sqft","6,000,000"
Apartment,"Momin Road, Ibrahimpur, Dhaka",3,3,"1,250 sqft","6,200,000"
Apartment,"Dhaka Uddan, Mohammadpur, Dhaka",3,3,"1,400 sqft","5,000,000"
Apartment,"Boro Maghbazar, Maghbazar, Dhaka",3,2,"1,050 sqft","5,000,000"
Apartment,"West Agargaon, Agargaon, Dhaka",3,3,"1,250 sqft","7,300,000"
Apartment,"Boro Maghbazar, Maghbazar, Dhaka",3,2,900 sqft,"5,000,000"
Apartment,"Sector 10, Uttara, Dhaka",3,3,"1,550 sqft","7,200,000"
Apartment,"Road No 8A, Dhanmondi, Dhaka",3,3,"1,200 sqft","8,700,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,000 sqft","3,700,000"
Apartment,"Block J, Banasree, Dhaka",3,2,"1,100 sqft","6,200,000"
Apartment,"Boro Maghbazar, Maghbazar, Dhaka",3,3,"1,050 sqft","5,000,000"
Apartment,"Boro Maghbazar, Maghbazar, Dhaka",4,3,"1,400 sqft","7,500,000"
Apartment,"Road No 13, Baridhara, Dhaka",4,3,"2,819 sqft","40,000,000"
Apartment,"Road No 1, Baridhara, Dhaka",5,5,"3,300 sqft","80,000,000"
Apartment,"Doniya, Shyampur, Dhaka",3,2,990 sqft,"4,455,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,545 sqft","6,700,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,240 sqft","5,500,000"
Apartment,"Abur Tek Road, Khilkhet, Dhaka",3,3,"1,150 sqft","5,000,000"
Apartment,"Sector 10, Uttara, Dhaka",3,3,"2,050 sqft","10,500,000"
Apartment,"Section 6, Mirpur, Dhaka",2,2,500 sqft,"2,500,000"
Apartment,"Section 6, Mirpur, Dhaka",3,3,"1,070 sqft","6,000,000"
Apartment,"Bashir Uddin Road, Kalabagan, Dhaka",3,3,"1,286 sqft","10,000,000"
Apartment,"Monipur, Mirpur, Dhaka",3,3,"1,300 sqft","7,000,000"
Apartment,"Road No 8A, Dhanmondi, Dhaka",3,4,"2,060 sqft","26,500,000"
Apartment,"Boro Maghbazar, Maghbazar, Dhaka",4,3,"1,400 sqft","7,500,000"
Apartment,"Section 12, Mirpur, Dhaka",2,2,650 sqft,"2,500,000"
Apartment,"Dhaka Uddan, Mohammadpur, Dhaka",3,3,"1,150 sqft","3,500,000"
Apartment,"Gulshan 2, Gulshan, Dhaka",4,4,"4,800 sqft","103,300,000"
Apartment,"Gulshan 2, Gulshan, Dhaka",4,4,"4,800 sqft","103,300,000"
Apartment,"Gulshan 2, Gulshan, Dhaka",4,4,"4,800 sqft","103,300,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Goran, Khilgaon, Dhaka",3,2,"1,200 sqft","5,000,000"
Apartment,"Green Road, Kalabagan, Dhaka",2,3,950 sqft,"8,500,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Malibagh First Lane, Malibagh, Dhaka",3,2,"1,000 sqft","5,000,000"
Apartment,"Block E, Bashundhara R-A, Dhaka",3,3,"1,550 sqft","10,500,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",4,4,"1,900 sqft","13,000,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",4,4,"1,900 sqft","13,000,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",4,4,"1,900 sqft","13,000,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,267 sqft","5,700,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,267 sqft","5,700,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,267 sqft","5,700,000"
Apartment,"Chandrima Model Town, Mohammadpur, Dhaka",2,2,950 sqft,"5,000,000"
Apartment,"Section 6, Mirpur, Dhaka",2,2,850 sqft,"3,600,000"
Apartment,"East Monipur, Mirpur, Dhaka",3,2,"1,280 sqft","5,000,000"
Apartment,"Rajarbag, Bashabo, Dhaka",3,2,"1,200 sqft","4,560,000"
Apartment,"Rajarbag, Bashabo, Dhaka",3,2,"1,200 sqft","4,560,000"
Apartment,"Rajarbag, Bashabo, Dhaka",3,2,"1,200 sqft","4,560,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,298 sqft","5,970,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,267 sqft","5,700,000"
Apartment,"Chandrima Model Town, Mohammadpur, Dhaka",3,3,"1,100 sqft","4,400,000"
Apartment,"Mirpur DOHS, Mirpur, Dhaka",4,4,"2,200 sqft","19,000,000"
Apartment,"Iqbal Road, Mohammadpur, Dhaka",3,3,"1,700 sqft","20,500,000"
Apartment,"Chandrima Model Town, Mohammadpur, Dhaka",3,2,"1,050 sqft","3,700,000"
Apartment,"Chandrima Model Town, Mohammadpur, Dhaka",3,2,"1,050 sqft","3,700,000"
Apartment,"Chandrima Model Town, Mohammadpur, Dhaka",3,3,"1,100 sqft","4,400,000"
Apartment,"Chandrima Model Town, Mohammadpur, Dhaka",3,3,"1,100 sqft","4,400,000"
Apartment,"Chandrima Model Town, Mohammadpur, Dhaka",3,3,"1,100 sqft","4,400,000"
Apartment,"Manikdi, Cantonment, Dhaka",3,4,"1,600 sqft","7,000,000"
Apartment,"Section 12, Mirpur, Dhaka",3,3,"1,300 sqft","7,500,000"
Apartment,"Section 2, Mirpur, Dhaka",3,2,"1,200 sqft","5,500,000"
Apartment,"Sector 7, Uttara, Dhaka",3,3,"1,496 sqft","12,500,000"
Apartment,"Krishi Bank Road, Badda, Dhaka",3,3,"1,650 sqft","7,590,000"
Apartment,"Krishi Bank Road, Badda, Dhaka",3,3,"1,650 sqft","7,590,000"
Apartment,"Krishi Bank Road, Badda, Dhaka",3,3,"1,650 sqft","7,590,000"
Apartment,"Krishi Bank Road, Badda, Dhaka",3,3,"1,650 sqft","7,590,000"
Apartment,"Section 2, Mirpur, Dhaka",3,2,"1,200 sqft","5,500,000"
Apartment,"Section 2, Mirpur, Dhaka",3,2,"1,200 sqft","5,500,000"
Apartment,"Section 2, Mirpur, Dhaka",3,2,"1,200 sqft","5,500,000"
Apartment,"Goran, Khilgaon, Dhaka",3,2,"1,000 sqft","4,200,000"
Apartment,"Sector 13, Uttara, Dhaka",3,3,"1,679 sqft","11,500,000"
Apartment,"Sector 10, Uttara, Dhaka",3,3,"1,650 sqft","7,700,000"
Apartment,"Sector 10, Uttara, Dhaka",3,3,"1,650 sqft","8,400,000"
Apartment,"East Kazipara, Mirpur, Dhaka",3,3,"1,200 sqft","5,500,000"
Apartment,"Pirerbag, Mirpur, Dhaka",4,3,"1,700 sqft","7,200,000"
Apartment,"Sher-E-Bangla Road, Mohammadpur, Dhaka",4,3,"1,100 sqft","6,440,000"
Apartment,"Block I, Bashundhara R-A, Dhaka",3,4,"2,000 sqft","14,000,000"
Apartment,"Krishi Bank Road, Badda, Dhaka",3,3,"1,650 sqft","7,590,000"
Apartment,"Kazi Riaz Uddin Road, Lalbagh, Dhaka",2,3,"1,464 sqft","9,000,000"
Apartment,"Block B, Aftab Nagar, Dhaka",5,4,"2,600 sqft","16,120,000"
Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3,3,"1,720 sqft","12,900,000"
Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3,3,"1,720 sqft","12,900,000"
Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3,3,"1,622 sqft","12,165,000"
Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3,3,"1,622 sqft","12,165,000"
Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3,3,"1,350 sqft","8,300,000"
Apartment,"Dhaka Uddan, Mohammadpur, Dhaka",3,3,"1,300 sqft","6,200,000"
Apartment,"Sector 10, Uttara, Dhaka",3,3,"1,250 sqft","7,500,000"
Apartment,"Block B, Aftab Nagar, Dhaka",5,4,"2,600 sqft","16,120,000"
Apartment,"Block B, Aftab Nagar, Dhaka",3,3,"1,300 sqft","8,060,000"
Apartment,"Khajedal Sing Lane, Lalbagh, Dhaka",3,3,"1,250 sqft","6,875,000"
Apartment,"Block B, Aftab Nagar, Dhaka",3,3,"1,300 sqft","8,060,000"
Apartment,"Block B, Aftab Nagar, Dhaka",3,3,"1,300 sqft","8,060,000"
Apartment,"Block B, Aftab Nagar, Dhaka",3,3,"1,300 sqft","8,060,000"
Apartment,"Sector 5, Uttara, Dhaka",3,4,"1,560 sqft","7,200,000"
Apartment,"Lalbagh Road, Lalbagh, Dhaka",3,3,"1,224 sqft","8,800,000"
Apartment,"School Road, Mohakhali, Dhaka",3,2,"1,050 sqft","8,000,000"
Apartment,"Lalbagh Road, Lalbagh, Dhaka",3,3,"1,224 sqft","8,800,000"
Apartment,"Topkhana Road, Shegunbagicha, Dhaka",3,3,"1,530 sqft","15,500,000"
Apartment,"Gulbag, Malibagh, Dhaka",3,2,950 sqft,"4,200,000"
Apartment,"Peer Saheber Goli, Shantinagar, Dhaka",3,3,"1,365 sqft","11,000,000"
Apartment,"Sector 12, Uttara, Dhaka",3,3,"1,640 sqft","9,800,000"
Apartment,"Mirpur DOHS, Mirpur, Dhaka",3,4,"2,200 sqft","24,000,000"
Apartment,"Block B, Aftab Nagar, Dhaka",5,4,"2,600 sqft","16,120,000"
Apartment,"Block B, Aftab Nagar, Dhaka",5,4,"2,600 sqft","16,120,000"
Apartment,"Gandaria, Sutrapur, Dhaka",2,2,965 sqft,"4,825,000"
Apartment,"1st Colony, Mirpur, Dhaka",2,2,800 sqft,"3,600,000"
Apartment,"1st Colony, Mirpur, Dhaka",3,3,"1,420 sqft","6,000,000"
Apartment,"North Dhanmondi Road Kalabagan, Kalabagan, Dhaka",3,3,"1,200 sqft","8,500,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Sector 7, Uttara, Dhaka",3,3,"1,500 sqft","10,200,000"
Apartment,"Topkhana Road, Shegunbagicha, Dhaka",3,3,"1,549 sqft","12,000,000"
Apartment,"Section 6, Mirpur, Dhaka",2,2,865 sqft,"4,750,000"
Apartment,"Middle Badda, Badda, Dhaka",3,3,"1,200 sqft","5,400,000"
Apartment,"Block B, Bashundhara R-A, Dhaka",3,4,"1,860 sqft","15,000,000"
Apartment,"Block B, Bashundhara R-A, Dhaka",3,4,"1,860 sqft","15,000,000"
Apartment,"Sector 13, Uttara, Dhaka",4,4,"2,270 sqft","15,000,000"
Apartment,"North Mugdapara, Mugdapara, Dhaka",4,3,"1,370 sqft","7,000,000"
Apartment,"Dhaka Uddan, Mohammadpur, Dhaka",3,3,"1,250 sqft","5,800,000"
Apartment,"Dhaka Uddan, Mohammadpur, Dhaka",3,2,"1,100 sqft","4,700,000"
Apartment,"Middle Badda, Badda, Dhaka",3,3,"1,150 sqft","5,175,000"
Apartment,"Block B, Bashundhara R-A, Dhaka",3,4,"1,860 sqft","15,000,000"
Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3,3,"1,050 sqft","6,300,000"
Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3,3,"1,050 sqft","6,300,000"
Apartment,"Bochila, Mohammadpur, Dhaka",3,3,"1,200 sqft","6,400,000"
Apartment,"Comfort Housing, Adabor, Dhaka",3,3,"1,250 sqft","7,000,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,275 sqft","6,630,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,310 sqft","6,812,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,330 sqft","6,916,000"
